pair,CosSim_ble_shift-10,CosSim_ble_shift-9,CosSim_ble_shift-8,CosSim_ble_shift-7,CosSim_ble_shift-6,CosSim_ble_shift-5,CosSim_ble_shift-4,CosSim_ble_shift-3,CosSim_ble_shift-2,CosSim_ble_shift-1,CosSim_ble,CosSim_ble_shift1,CosSim_ble_shift2,CosSim_ble_shift3,CosSim_ble_shift4,CosSim_ble_shift5,CosSim_ble_shift6,CosSim_ble_shift7,CosSim_ble_shift8,CosSim_ble_shift9,CosSim_ble_shift10,State
uu_u19e,0.8867136749924923,0.9083542720074139,0.8718934691708544,0.8893924718277728,0.896830582553487,0.8759546635315097,0.868612371274524,0.8991969156129769,0.8826158264858939,0.8908841323413675,0.885454323486719,0.8922398692322929,0.8883396612901534,0.8802488691071974,0.8732969494600435,0.8881357082482446,0.867437258873677,0.8790346674911076,0.8781003346186538,0.8733857177606924,0.8738494553274363,1
uu_u19e,0.8704694464528212,0.8373659927499845,0.8540307585179961,0.8573847997398071,0.83138841701928,0.8402664181220043,0.8724772953448916,0.8347106838624213,0.8470447957123406,0.843002470643349,0.8471259151804881,0.8398797090659058,0.8633762177306521,0.8163131128588753,0.814300349506509,0.8558099473954589,0.8320957391880449,0.85530805939333,0.8230426574887554,0.8190777414510072,0.8520096454564214,1
uu_u19e,0.6790193165671216,0.7069945346236282,0.6684848306379046,0.7092495832147433,0.7110112765958708,0.6437246414639196,0.7101197003925783,0.7223413892914716,0.7115855684413174,0.6838375060902228,0.7185247372988713,0.7431967973011027,0.7828836863647302,0.7117939080528819,0.6673455792892927,0.6889324747089719,0.7080247191338783,0.760043423652699,0.6849936708469798,0.7091809096746339,0.673497916645102,1
uu_u19e,0.5964185569267928,0.6127366327457622,0.6314571736339638,0.6001993435792207,0.6631026983579349,0.6059357685452426,0.6407320144907437,0.6384434530242432,0.6278329144042712,0.6033385728670448,0.6415188789061043,0.5961030535946598,0.6196278784903164,0.6325720725905378,0.6169813549702547,0.6305378152329424,0.6002419200228696,0.700211799384289,0.6208610870210948,0.672800866176317,0.6592846133343451,1
uu_u19e,0.8694307288012749,0.861825055646472,0.8537856175806291,0.8840313176791622,0.8826445585283914,0.893953439710769,0.8899482109472362,0.8893478727391742,0.9188590063607415,0.9244546618078835,0.9341106789969928,0.9374790130398231,0.9355326492056845,0.9168553817167903,0.9228376852691296,0.9109378874884216,0.8979746945538872,0.8826304795635667,0.8796964629389982,0.8838308643890979,0.8786781119805521,1
uu_u19e,0.5705515142813015,0.5855100794077618,0.5487323827548338,0.5914272626306364,0.5507353718563637,0.5663627982368987,0.5020271890528307,0.4680015909340188,0.4972622360586693,0.4642379131856551,0.4490185370589976,0.4534865570404994,0.44831332356787507,0.46362442569346995,0.4628552846116159,0.47945402603590875,0.5386024486324337,0.5451863473356364,0.532810861689655,0.5122731567599839,0.5290123114325902,1
uu_u19e,0.5799266255624039,0.5336620229313094,0.5643148162297292,0.5605374609290489,0.5680755885719682,0.5865966223820838,0.5866702569924933,0.6031916256778022,0.5810463480351211,0.590339472075054,0.5627210893867202,0.5738808658539162,0.5759287554487993,0.6047289382787346,0.6225649807732757,0.600908208649423,0.6286639437958473,0.6129876574382039,0.6125847875301678,0.5864753538472812,0.6247494045574821,1
uu_u19e,0.9303785017292507,0.9313934476915557,0.9370066266062917,0.929127925916593,0.9295581321885581,0.9064561720985216,0.9161007343738505,0.9020106125164912,0.90509756033407,0.9010452870758173,0.8987195917545427,0.8982649172267022,0.8804183145539454,0.8856957837664674,0.8911371231494617,0.8601863507783165,0.8755482991302079,0.8460964611471361,0.8593509317614613,0.8457837426279621,0.8364591137922283,1
uu_u19e,0.8207198112049315,0.826538486476104,0.8518128307452085,0.8593155535761763,0.8405934865898688,0.8330425893312104,0.818019632669907,0.8492614297197725,0.8461854115514024,0.8638408167536563,0.8312077806372364,0.8222751842722494,0.8438256157840941,0.8439571209048335,0.8383972951937426,0.8935061018691554,0.8781278222924713,0.8628780019058563,0.8661484107399804,0.865216496843339,0.838322453842373,1
uu_u19e,0.9519511546247622,0.957543003547163,0.9581838120038728,0.9605068371865588,0.965130036589606,0.9607146551325426,0.9688678274814198,0.9679902512465933,0.9722986860514737,0.9737115970148906,0.9707341087171367,0.9673042985728001,0.9718685017568234,0.9734071257242749,0.9684738846833849,0.9656563083535054,0.967396173130768,0.9699152334698944,0.9610103880018536,0.9583151515570756,0.9531491016500183,1
uu_u19e,0.8552540990380059,0.8321583638547732,0.8366270703472307,0.841003650754615,0.826053127835523,0.8181864682006157,0.846510399701982,0.8138579711474755,0.7980953537006905,0.8320944431204622,0.746719757454624,0.7905551447641862,0.7657993771154825,0.7314171705091599,0.7459011715386503,0.743225597525343,0.6640862724858988,0.7383326424629819,0.7199904993755408,0.7093220905408478,0.694139651905372,1
